author_sort,authors,comments,cover,timestamp,formats,isbn,id,identifiers,languages,library_name,pubdate,publisher,rating,series,series_index,size,tags,title,title_sort,uuid
"Bowen, Joshua","Joshua Bowen","","/Users/natkite/Calibre Library/Joshua Bowen/The Atheist Handbook to the Old Testament_ Volume 1 (90)/cover.jpg","2023-11-13T14:12:36-05:00","azw3, mobi","","90","mobi-asin:B094RF3CF3","eng","Calibre Library","2021-05-27T23:00:00-05:00","Digital Hammurabi Press","","","1.0","2087859","","The Atheist Handbook to the Old Testament: Volume 1","Atheist Handbook to the Old Testament: Volume 1, The","f50c828a-23b9-45e9-be80-fa35e55f880f"
"Daniels, Peter T. & Bright, William","Peter T. Daniels & William Bright","Ranging from cuneiform to shorthand, from archaic Greek to modern Chinese, from Old Persian to modern Cherokee, this is the only available work in English to cover all of the world's writing systems from ancient times to the present. Describing scores of scripts in use now or in the past around the world, this unusually comprehensive reference offers a detailed exploration of the history and typology of writing systems. More than eighty articles by scholars from over a dozen countries explain and document how a vast array of writing systems work--how alphabets, ideograms, pictographs, and hieroglyphics convey meaning in graphic form. The work is organized in thirteen parts, each dealing with a particular group of writing systems defined historically, geographically, or conceptually. Arranged according to the chronological development of writing systems and their historical relationships within geographical areas, the scripts are divided into the following sections: the ancient Near East, East Asia, Europe, South Asia, Southeast Asia, and the Middle East. Additional parts address the ongoing process of decipherment of ancient writing systems; the adaptation of traditional scripts to new languages; new scripts invented in modern times; and graphic symbols for numerical, music, and movement notation. Each part begins with an introductory article providing the social and cultural context in which the group of writing systems was developed. Articles on individual scripts detail the historical origin of the writing system, its structure (with tables showing the forms of the written symbols), and its relationship to the phonology of the corresponding spoken language. Each writing system is illustrated by a passage of text, and accompanied by a romanized version, a phonetic transcription, and a modern English translation. A bibliography suggesting further reading concludes each entry. 
Matched by no other work in English, The World's Writing Systems is the only comprehensive resource covering every major writing system. Unparalleled in its scope and unique in its coverage of the way scripts relate to the languages they represent, this is a resource that anyone with an interest in language will want to own, and one that should be a part of every library's reference collection.
","/Users/natkite/Calibre Library/Peter T. Daniels/The World's Writing Systems (91)/cover.jpg","2023-11-13T14:19:39-05:00","pdf","9780195079937","91","google:ospMAgAAQBAJ,isbn:9780195079937,amazon:0195079930","eng","Calibre Library","1996-05-14T23:00:00-05:00","Oxford University Press","4","","1.0","42227959","Language Arts & Disciplines, Alphabets & Writing Systems, Handwriting, Linguistics, General, Reference","The World's Writing Systems","World's Writing Systems, The","95ee062a-b585-4f39-bcf4-8a27fe033e9a"
"Unknown","Unknown","","/Users/natkite/Calibre Library/Unknown/Habib Combined (93)/cover.jpg","2023-11-21T14:48:47-05:00","pdf","","93","","","Calibre Library","2023-11-21T14:48:23-05:00","","","","1.0","14836735","","Habib Combined","Habib Combined","dc6fdea9-a6ca-4c4d-bd7f-5a4c21470bf3"
"Laxmikanth, M","M Laxmikanth","","/Users/natkite/Calibre Library/M Laxmikanth/Indian Polity for Civil Services and Other State Examinations_ 6th Revised Edition (94)/cover.jpg","2023-11-26T16:37:19-05:00","pdf","9789355321411","94","mobi-asin:B084X5T76T,amazon:9354600352,isbn:9789355321411","eng","Calibre Library","2021-09-28T23:00:00-05:00","MC GRAW HILL INDIA","5","","1.0","6848484","","Indian Polity for Civil Services and Other State Examinations| 6th Revised Edition","Indian Polity for Civil Services and Other State Examinations| 6th Revised Edition","2663b707-0dd8-48b6-92cc-761712f774f5"
"Chandra, Bipan","Bipan Chandra","India’s struggle for Independence by Bipin Chandra is your go to book for an in-depth and detailed overview on Indian independence movement . Indian freedom struggle is one of the most important parts of its history. A lot has been written and said about it, but there still remains a gap. Rarely do we get to hear accounts of the independence from the entire country and not just one region at one place. This book fits in perfectly in this gap and also provides a narration on the impact this movement had on the people. Bipin Chandra’s book is a well-documented history of India's freedom struggle against the British rule. It is one of the most accurate books which have been painstakingly written after thorough research based on legal and valid verbal and written sources. It maps the first war of independence that started with Mangal Pandey’s mutiny and witnessed the gallant effort of Sri Rani Laxmi Bai. Many of the pages of this book are dedicated to Mahatma Gandhi’s non-cooperation and the civil disobedience movements. It contains detailed description of Subash Chandra Bose’s weapon heavy tactics and his charisma. This book includes all the independence movements and fights, irrespective of their size and impact, covering India in its entirety. Although these movements varied in means and ideas, but they shared a common goal of independence. This book contains oral and written narratives from different parts of the country, making this book historically rich and diverse. The book captures the evolution of Indian independence struggle in full detail and leaves no chapter of this story untouched. This book is a good read for the students of Indian modern history and especially for students who are preparing for UPSC examination and have taken History as their subject.
### About the Author
Bipan Chandra, recipient of the Padma Bhushan, was born in Kangra, Himachal Pradesh. He was educated at Forman Christian College, Lahore and at Stanford University, California. He was Professor of Modern History at Jawaharlal Nehru University (JNU), New Delhi, where he is currently Professor Emeritus. He was honoured as National Professor and was also the Chairperson of the National Book Trust. Professor Chandra has authored several books on nationalism, colonialism and communalism in modern India.
","/Users/natkite/Calibre Library/Bipan Chandra/India's Struggle for Independence (95)/cover.jpg","2023-11-26T16:39:09-05:00","pdf","","95","amazon:B06XXGZ7RX","eng","Calibre Library","2016-08-08T23:00:00-05:00","Penguin","4","","1.0","2211375","Modern Indian History, History, Indian, Modern, Civil Services","India's Struggle for Independence","India's Struggle for Independence","7c078636-3d42-45e9-8ed6-5a0eeb47ab53"
"Chandra, Bipan","Bipan Chandra","This volume, a sequel to the best-selling India's Struggle for Independence, analyses the challenges India has faced and the successes it has achieved over the last five decades, in the light of its colonial legacy and the century-long struggle for freedom. The book describes how the Constitution was framed, as also how the Nehruvian political and economic agenda and basics of foreign policy were evolved and developed.","/Users/natkite/Calibre Library/Bipan Chandra/India After Independence_ 1947-2000 (96)/cover.jpg","2023-11-26T16:40:35-05:00","azw3, epub","9789351181200","96","mobi-asin:c866554b-78f0-4bfd-a7c7-f558191f5543,google:y5JEDxGZTOUC,isbn:9789351181200","eng","Calibre Library","2000-10-31T23:00:00-05:00","Penguin UK","","","1.0","1355684","Political Science, General, History","India After Independence: 1947-2000","India After Independence: 1947-2000","d9016f57-3900-4998-83d9-4fdc0901eb4b"
"Husain, Majid","Majid Husain","About the Book: Geography of India: 5th Edition Geography of India by Majid Husain is rapidly climbing up the popularity chart.It is now a widely read academic-cum-refrence manual that addresses the relavant topics of geography of india in a systematic and comprehensive manner.The inclusion of carefully thought out Multiple Choice Questions(MCQs) especially relavant for General Studies Paper 1 of the Civil Services Preliminary Examination is an additional for aspirants appearing in this prestigious examination. Written in a lucid style and documented with suitable maps and diagrams, the uniqueness of the book lies in the wide coverage of the subject. In the process the book will be of immense interest to acadmic students, teachers, researchers and those who have a secial interest in the subject. Contents: 1. Structure of India 2. Physiography 3. Drainage 4.Climate 5.Natural vegetation and National Parks 6.Soils 7.Resources 8. Energy Resources 9. Agriculture 10.Spatial Orgainisation of Agriculture 11.Industries 12.Transport, Communication and Trade 13.Cultural Setting 14.Settlement 15.Regional Development and planning 16.India- Political Assets 17.Contemporary Issues, About the Author: Majid Husain Majid Husain, Prof.(Retd.) Jamia Millia Islamia, Central University, New Delhi
","/Users/natkite/Calibre Library/Majid Husain/Geography of India (97)/cover.jpg","2023-11-26T16:42:06-05:00","pdf","9789352606221","97","google:PDSHzQEACAAJ,isbn:9789352606221,amazon:9352606221,mobi-asin:B091B6X2ZN","eng","Calibre Library","2017-01-01T23:00:00-05:00","Mc Graw Hill","4","","1.0","26633095","","Geography of India","Geography of India","b708e5d1-b05d-4683-b57a-5740d9a92f3b"
"Sharma, R. S.","R. S. Sharma","R.S. Sharma, one of the best-known historians of early India, provides a comprehensive yet accessible text on the ancient period of Indian history. Beginning with topics such as historiography and the importance of Ancient Indian history, he goes on to cover the geographical, econological and linguistic settings, before looking at specific cultures of neolithic, chalcolithic types, the Harappan civilization, the Vedic period, the rise of Jainism and Buddhism, Magadha and the beginning of territorial states, the age of the Mauryas, Satavahanas, Guptas, and Harshavardhana. While taking the reader on this journey through time, he highlights important phenomena such as the beginning of urbanization and monarchy in India, invasions, the Varna system, commerce and trade, developments in philosophy and cultural efflorescence. He ends this insightful volume with a comments on the transition from the Ancient to the Medieval. 
This book also addresses a number of issues which have become current in discussion on Ancient Inida today, such as the Identity of the Aryan Culture, and Historical Construction. This is a volume meant for all those who want a masterly, lucid, yet eminently readable introduction to and overview on India's early history by one of the master-scholars of Indian history - be it students, tourists, or the interested lay reader
### About the Author
R.S. Sharma is a Professot Emeritus in the Department of History at the University of Patna.
","/Users/natkite/Calibre Library/R. S. Sharma/India's Ancient Past (98)/cover.jpg","2023-12-01T15:51:37-05:00","mobi, txt","9780195687859","98","mobi-asin:00834702-1a03-4a7f-8527-64711b3dd6de,google:giwpDwAAQBAJ,amazon:019568785X,isbn:9780195687859","eng","Calibre Library","2006-10-19T23:00:00-05:00","Oxford University Press","4","","1.0","2899266","History, Ancient, General, Social Science, Anthropology, Asia, India & South Asia","India's Ancient Past","India's Ancient Past","0f9e5d87-15e5-48ba-b417-cd67393f4790"
"Klune, Tj","Tj Klune","**A** NEW YORK TIMES, SUNDAY TIMES **AND INDIE BESTSELLER!  
**  
New York Times **bestselling author TJ Klune invites you deep into the heart of a peculiar forest and on the extraordinary journey of a family assembled from spare parts.**
**Most Anticipated from BookPage • Goodreads • The Nerd Daily • Paste Magazine • LitReactor • OverDrive • LGBTQ Reads • Tor.com** **•** **LibraryReads** **• m** **ore** ** 
“An enchanting tale of Pinocchio in the end times.” —P. Djèlí Clark** 
In a strange little home built into the branches of a grove of trees, live three robots—fatherly inventor android Giovanni Lawson, a pleasantly sadistic nurse machine, and a small vacuum desperate for love and attention. Victor Lawson, a human, lives there too. They’re a family, hidden and safe. 
The day Vic salvages and repairs an unfamiliar android labeled “HAP,” he learns of a shared dark past between Hap and Gio–a past spent hunting humans. 
When Hap unwittingly alerts robots from Gio’s former life to their whereabouts, the family is no longer hidden and safe. Gio is captured and taken back to his old laboratory in the City of Electric Dreams. So together, the rest of Vic’s assembled family must journey across an unforgiving and otherworldly country to rescue Gio from decommission, or worse, reprogramming. 
Along the way to save Gio, amid conflicted feelings of betrayal and affection for Hap, Vic must decide for himself: Can he accept love with strings attached? 
Inspired by Carlo Collodi's *The Adventures of Pinocchio* , and like *Swiss Family Robinson* meets *Wall-E* , *In the Lives of Puppets* is a masterful stand-alone fantasy adventure from the beloved author who brought you *The House in the Cerulean Sea* and *Under the Whispering Door.*
★ “An epic quest of rescue and discovery [with] the author’s trademark charm, heart, and bittersweetness.” — *Library Journal* , starred review 
**Praise for TJ Klune’s previous work:** ""Like being wrapped up in a big gay blanket."" — **V.E. SCHWAB** • “Very close to perfect.” — **SEANAN McGUIRE** • “Utterly absorbing.” — **GAIL CARRIGER** • ""It will renew your faith in humanity.” — **TERRY BROOKS** • “It healed me.” — **CASSANDRA KHAW** • “Compassionate.” — **RYKA AOKI**
At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.
### Review
“Readers who loved Klune’s previous works will find plenty of the author’s trademark charm, heart, and bittersweet.” ―Library Journal **, starred review**
""A wholly charming post-robot-apocalypse retelling of Pinocchio. Speculative fiction readers will fall in love with this whimsical, bittersweet fable."" ―Shelf Awareness **, starred review**
"" *In The Lives of Puppets* is glorious, a thoroughly entertaining and deeply stirring journey through a world of extraordinary robots. The characters here are so vibrant, and the story proves that love stretches well beyond the world of humans."" **―Chuck Tingle, Hugo Award finalist and author of** Camp Damascus 
"" *In the Lives of Puppets* is a powerful story of humanity and what survives after we're gone. Do the new inheritors of this earth forge a new path? Or are they destined to repeat the mistakes of their makers? TJ Klune has created **an enchanting tale of** **Pinocchio** **in the end times** , offering up hard truths alongside humor, kindness, love and, most important, hope."" **―P. Djèlí Clark**
""I dare say I am yet to read more humane robots than I've encountered in *In the Lives of Puppets*. This kind, caring, hopeful humanity that Klune weaves into his work tugs at the heartstrings. There are passages so affecting within, I had to pause. This was brilliantly offset by moments of levity. **Literature at its very best opens up the potential of a better world than the one we're currently in. Klune's vision of a more considerate and compassionate society is immensely powerful.** One can't help but fall in love with this book."" **―T.L. Huchu**  
 **  
For** The * House in the Cerulean Sea ***  
A** New York Times, USA Today **, and** Washington Post **Bestseller!  
An Indie Next Pick!  
An Alex Award-Winner**
""I loved it. It is like being wrapped up in a big gay blanket. Simply perfect."" ― **V.E. Schwab, #1** New York Times **bestselling author of** The Invisible Life of Addie LaRue 
“This book is very close to perfect.” ― **Seanan McGuire,** New York Times **bestselling author of** Every Heart a Doorway 
“An utterly absorbing story of tolerance, found family, and defeating bureaucracy.” ― **Gail Carriger,** New York Times **bestselling author of** Soulless *  
*  
“A modern fairy tale about learning your true nature and what you love and will protect. It's a beautiful book.” ― **Charlaine Harris, #1** New York Times **bestselling author**
""It will renew your faith in humanity.” ― **Terry Brooks,** New York Times **bestselling author of the Shannara series**
“It’s a witty, wholesome fantasy that’s likely to cause heart-swelling.” ―The Washington Post 
""Readers will revel in Klune’s wit and ingenuity."" ―Publishers Weekly, s **tarred review**
“Remarkable.” ―Amazon Book Review 
**For** Under the Whispering Door **  
A** New York Times, USA Today **, and Indie Bestseller!** **  
An Indie Next Pick! 
** “ *Under the Whispering Door* is a kind book. It broke my heart with its unflinching understanding that grief never goes away. And then it healed me in the next breath.” ― **Cassandra Khaw,** USA Today **bestselling author of** Nothing But Blackened Teeth **  
**  
“There is so much to enjoy in *Under the Whispering Door* , but what I cherish the most is its compassion for the little things―a touch, a glance, a precious piece of dialogue―healing me, telling me that for all the strangenesses I hold, I am valued, valid―and maybe even worthy of love.” ― **Ryka Aoki author of** Light from Uncommon Stars **  
**  
“Klune's latest is a sweet tale of grief and second chances, and a ghost story about not giving up on even the most lost of souls.” ― Booklist
“Tenderness, wit, and skillful worldbuilding elevate this delightful tale. Fans of queer fantasy won’t want to miss this.” ―Publishers Weekly
### About the Author
TJ KLUNE is the *New York Times* and *USA Today* bestselling, Lambda Literary Award-winning author of *The House in the Cerulean Sea* , *Under the Whispering Door* , *In the Lives of Puppets* , the Green Creek Series for adults, the Extraordinaries Series for teens *,* and more. Being queer himself, Klune believes it's important―now more than ever―to have accurate, positive queer representation in stories.
","/Users/natkite/Calibre Library/Tj Klune/In the Lives of Puppets (99)/cover.jpg","2023-12-15T09:16:52-05:00","epub","9781250217424","99","isbn:9781250217424,amazon:B09Y461DKX,google:FIVrEAAAQBAJ","eng","Calibre Library","2023-04-24T23:00:00-05:00","Tor Books","4","","1.0","1940596","Fiction, Fantasy, Contemporary, Humorous, Lgbtq+, Gay","In the Lives of Puppets","In the Lives of Puppets","ec45de8e-1018-4e31-9921-2a3e0efcba2d"
"Rahman, Zia Haider","Zia Haider Rahman","A bold, epic debut novel set during the war and financial crisis that defined the beginning of our century
One September morning in 2008, an investment banker approaching forty, his career in collapse and his marriage unraveling, receives a surprise visitor at his West London townhouse. In the disheveled figure of a South Asian male carrying a backpack, the banker recognizes a long-lost friend, a mathematics prodigy who disappeared years earlier under mysterious circumstances. The friend has resurfaced to make a confession of unsettling power.  
 *In the Light of What We Know* takes us on a journey of exhilarating scope--from Kabul to London, New York, Islamabad, Oxford, and Princeton--and explores the great questions of love, belonging, science, and war. It is an age-old story: the friendship of two men and the betrayal of one by the other. The visitor, a man desperate to climb clear of his wrong beginnings, seeks atonement; and the narrator sets out to tell his friend's story but finds himself at the limits of what he can know about the world--and, ultimately, himself. Set against the breaking of nations and beneath the clouds of economic crisis, this surprisingly tender novel chronicles the lives of people carrying unshakable legacies of class and culture as they struggle to tame their futures.  
In an extraordinary feat of imagination, Zia Haider Rahman has telescoped the great upheavals of our young century into a novel of rare intimacy and power.
### From Booklist
This expansive novel sprawls over the past half-century and has as its primary settings the U.S., the UK, and South Asia. Its nameless narrator is an upper-class Englishman of Pakistani parentage, and its main character and secondary voice is the Bangladeshi-born Zafar, the narrator’s brilliant former Oxford classmate. Our narrator gets ensnared in the banking scandals of the early 2000s, and Zafar in the coterminous conflict in Afghanistan. This is, in part, a novel of international geopolitics going back to American involvement (or inaction) in the South Asian wars of 1971; in part, a novel of global finance; in referential detail, a novel of ideas; and, in addition, a novel of personal relationships in which issues of caste and class figure prominently. The narrator (and the book’s author) has background on Wall Street, and the complex narrative weaves together the strands of worldwide interconnectedness with which both are familiar. This is a big book with grand themes, and while some readers may enjoy its discursiveness, others might wish for a tighter narrative style. --Mark Levine
### Review
“Rahman's novel [is] astonishingly achieved for a first book…Rahman proves himself a deep and subtle storyteller, with a very good eye for dramatic detail--the wounding stray comment, the surge of shame, the livid parable... *In the Light of What We Know* is what Salman Rushdie once called an ‘everything novel.' It is wide-armed, hospitable, disputatious, worldly, cerebral. Ideas and provocations abound on every page.” ― *James Wood, The New Yorker*
“An ambitious novel by any measure, *In the Light of What We Know* is particularly striking as a first novel. …[It] is a novel of ideas, a compendium of epiphanies, paradoxes, and riddles clearly designed to be read slowly and meditatively… [A] unique work of fiction bearing witness to much that is unspeakable in human relationships as in international relations, while it is also unknowable.” ― *Joyce Carol Oates, New York Review of Books*
“[A] strange and brilliant novel . . . I was surprised it didn't explode in my hands.” ― *Amitava Kumar, The New York Times Book Review*
“[B]ristling with ideas about mathematics and politics, history and religion, Rahman's novel also wrestles with the intricacies of the 2008 financial crash. It is encyclopedic in its reach and depth, dazzling in its erudition... *In the Light of What We Know* is an extraordinary meditation on the limits and uses of human knowledge, a heartbreaking love story and a gripping account of one man's psychological disintegration. This is the novel I'd hoped Jonathan Franzen's *Freedom* would be (but wasn't)--an exploration of the post-9/11 world that is both personal and political, epic and intensely moving.” ― *Alex Preston, The Guardian*
“[A]n ambitious and extraordinary achievement . . . Pre-eminently a novel of ideas, the book overflows with sparkling essays on free will, the perception of time, the nature of memory, maps, flags, etymology and the axioms of mathematics... As a meditation on the penalties of exile, the need for roots and the ways in which anger can consume a thoughtful man slighted by prejudice, this is a dazzling debut.” ― *Sunday Times (UK)*
“[A] sweeping and brilliant tale... Rahman's rich and complex debut novel is like [a] great meal... *In the Light of What We Know* may be the best meal you eat this year. [Rahman's] insights--whether related to Pakistan-India enmity, Ivy-League attitude or non-governmental organizations' idealism--were right on target, [his] characters' experiences plausible and compelling, and [his] grasp of the widely varied subjects in the novel was breathtaking.” ― *Paul Overby, Pittsburg Post-Gazette*
“[A] hugely impressive… and profound debut… The book's depth is utterly absorbing, its stories as real in their effect as they are illusory.” ― *Alex Clark, The Guardian*
“Beautifully written and renewed evidence that some of the most interesting writing in English is coming from the edges of old empires.” ― *Kirkus (starred review)*
“ *[In The Light of What We Know]* is a splendidly enterprising debut.” ― *The Wall Street Journal*
“[Rahman's] fascination with mathematics and the universe of ideas is contagious, and enriches the complex narrative about how we know the reality around us… [T]his ambitious debut novel has considerable depth and scope.” ― *Library Journal (starred review)*
“[I]t is immediately apparent that one is dealing with a work of major ambition…[T]he main reason to get excited over Rahman's emerging presence as a writer are his sentences, ramifying and unraveling to bring in more and more ideas between full-stops in a way that few still alive can command.” ― *Nicholas Muncusi, The Daily Beast*
“ *[In the Light of What We Know is]* epic in scale and reach, and pulsing with life.” ― *The National*
“[A] a sprawling and thrillingly ambitious debut novel…A cross between Herman Melville and David Foster Wallace as refracted through Graham Greene, *In the Light of What We Know* offers 500 pages of self-described ""digressions"" and ""tangents"" involving bracing, sometimes mind-blowing discussions of high math, theoretical physics, cognitive science, Central Asian politics, the English class system, the bloody birth of Bangladesh, Bach, literature, epistemology, collateralized debt obligations and the 2008 collapse of world markets... Rahman drives home that every story is a lie. But stories like this one can teach us great truths about the ways we see--and how much we therefore miss.” ― *Mike Fischer, Milwaukee Journal Sentinel*
“[A] standout debut.” ― *Vogue*
“This formidable and compelling novel offers the reader pleasures not often found in the same venue. Its boldness in engaging elements of our contemporary crisis is bracing. In presenting his cast of characters, Rahman supplies close readings of class, mores, and manners that are extraordinary. And throughout, he sustains an almost subliminal resonance with the conventions, strengths, and tone of certain classic social novels in the English canon--Conrad's in particular. This is a debut to celebrate.” ― *Norman Rush, author of Mating and Subtle Bodies*
“Here it is, the vast and brilliant debut novel of our time for which readers have been waiting. Set against the backdrop of economic crises and the war in Afghanistan, Zia Haider Rahman's novel about a troubled friendship between two men--one born in the United States to well-placed parents from Pakistan, and the other born in Bangladesh--is deeply penetrating and profoundly intimate, as if made by a muralist whose heart belongs to the details. *In the Light of What We Know* is a novel of startling vision, written in a prose that's as strong and bold as it is impeccable. Who's the true heir to such greats as George Orwell and V.S. Naipaul? It's Zia Haider Rahman.” ― *Richard McCann, author of Mother of Sorrows*
“Brilliant and heartbreaking, *In the Light of What We Know* is the first truly great book of the new century.” ― *Ceridwen Dovey, author of Blood Kin*
### About the Author
Born in rural Bangladesh, **Zia Haider Rahman** was educated at Balliol College, Oxford, and at Cambridge, Munich, and Yale Universities. He has worked as an investment banker on Wall Street and as an international human rights lawyer. *In the Light of What We Know* is his first novel.
","/Users/natkite/Calibre Library/Zia Haider Rahman/In the Light of What We Know_ A Novel (100)/cover.jpg","2023-12-15T09:21:53-05:00","epub","9780374175627","100","mobi-asin:B00HTJBD88,isbn:9780374175627,google:YS2SAgAAQBAJ,amazon:0374175624","eng","Calibre Library","2014-04-21T23:00:00-05:00","Farrar, Straus and Giroux","4","","1.0","1014450","Fiction, Literary, Historical, General, War & Military, World Literature, England, 20th Century","In the Light of What We Know: A Novel","In the Light of What We Know: A Novel","27d60fd1-294a-4a6f-8ea3-d10f4d1ca919"
"Gill, Kanan","Kanan Gill","Channelling the craft of Neil Gaiman, the humour of Douglas Adams and the genius of Terry Pratchett, Kanan Gill weaves a story that will surprise you. It refuses to take itself seriously, yet raises the most serious of questions - what does it mean to be human?In a post-nuclear winter world, now free from borders, war, poverty and overpopulation, the smartest man on the planet is working on the most illegal thing imaginable. Once a celebrated scientist for whom the Authority had to come up with an entirely new 'Genius Category 3', Dr K has resigned as the head of the Scientific Institute and now spends his days in a hungover, crotchety haze, relegated to working on a trifling project. But unknown to everyone else, he is obsessively simulating universes, intervening in these simulations, and when they fail to achieve what he wants, terminating them.But all of his delicate interferences to nudge these simulated realities in the right direction inevitably come up short against the most unlikely spanner in the works - bumbling private detective P. Manjunath.In Kanan Gill's wildly entertaining and unexpectedly moving debut novel, a Danish policeman accidentally becomes a clothing-optional leader of a worldwide group of science haters, a sentient piece of wall struggles with the limits of its artistic expression and a lapel pin's habit of always giving truthful advice causes chaos. Blending vivid inventiveness and uproarious storytelling, with an intriguing interrogation of the very nature of existence, Acts of God marks the evolution of one of our finest comedic voices.
","/Users/natkite/Calibre Library/Kanan Gill/Acts of God (101)/cover.jpg","2024-01-24T04:47:55-05:00","epub, mobi","9789356996823","101","isbn:9789356996823,google:b--W0AEACAAJ,amazon:9356996822,mobi-asin:B0CP8KHQD3","eng","Calibre Library","2024-02-27T23:00:00-05:00","HarperCollins India","4","","1.0","640593","Fiction, General, null","Acts of God","Acts of God","fdefe847-ec26-470f-85d4-13031ced2654"
"Beames, John","John Beames","A Comparative Grammar of the Modern Aryan Languages of India is an unchanged, high-quality reprint of the original edition of 1872. Hansebooks is editor of the literature on different topic areas such as research and science, travel and expeditions, cooking and nutrition, medicine, and other genres. 
As a publisher we focus on the preservation of historical literature. 
Many works of historical writers and scientists are available today as antiques only. Hansebooks newly publishes these books and contributes to the preservation of literature which has become rare and historical knowledge for the future.
","/Users/natkite/Calibre Library/John Beames/A Comparative Grammar of the Modern Aryan Languages of India (102)/cover.jpg","2024-03-07T14:13:13-05:00","pdf","9781446043400","102","google:PxnCjwEACAAJ,amazon:1446043401,isbn:9781446043400","eng","Calibre Library","2010-11-22T23:00:00-05:00","Browne Press","","","1.0","10922367","Foreign Language Study, General, History, Language Arts & Disciplines","A Comparative Grammar of the Modern Aryan Languages of India","Comparative Grammar of the Modern Aryan Languages of India, A","d2ff813d-2319-4b95-b520-58cb5797a0a0"
"Caldwell, R.","R. Caldwell","","/Users/natkite/Calibre Library/R. Caldwell/A Comparative Grammar of the Dravidian or South-Indian Family of Languages (104)/cover.jpg","2024-03-07T14:24:43-05:00","azw3, pdf","9780897601115","104","google:htMeQQAACAAJ,isbn:9780897601115","eng","Calibre Library","1980-02-14T23:00:00-05:00","Telegraph Books","","","1.0","55119154","Foreign Language Study, Indic Languages","A Comparative Grammar of the Dravidian or South-Indian Family of Languages","Comparative Grammar of the Dravidian or South-Indian Family of Languages, A","d4729ab6-ecf0-4d9d-980f-de3f4bf6bc97"
"Pragati Utkal Sangha","Pragati Utkal Sangha","","/Users/natkite/Calibre Library/Pragati Utkal Sangha/John Beams and Orissa (105)/cover.jpg","2024-03-07T14:24:43-05:00","pdf","","105","","","Calibre Library","2013-01-17T05:38:33-05:00","","","","1.0","25460814","","John Beams and Orissa","John Beams and Orissa","8e6ef4b6-f6bd-44a1-b216-2aeb0ec27a06"
"WADDELL, L.A.","WADDELL, L.A.","","/Users/natkite/Calibre Library/WADDELL, L.A_/The Aryan Origin of the Alphabet (1927) (106)/cover.jpg","2024-03-07T14:24:43-05:00","pdf","","106","","","Calibre Library","0100-12-31T19:00:00-05:00","","","","1.0","4449442","Disclosing the Sumero-Phoenician Parentage of our Letters Ancient and Modern, alphabet, cuneiform, hieroglyphics, History, language, letters, manuscript, orthography, printing, scribe, script, signs, spelling, Sumer, symbols, tablet, writing","The Aryan Origin of the Alphabet (1927)","Aryan Origin of the Alphabet (1927), The","7bb3b78a-cf76-4148-a325-7c26f4e87179"
"Bloch, Jules","Jules Bloch","","/Users/natkite/Calibre Library/Jules Bloch/Indo-Aryan From the Vedas to Modern Times (107)/cover.jpg","2024-03-07T14:24:52-05:00","pdf","","107","google:U2xjAAAAMAAJ","eng","Calibre Library","1965-05-14T23:00:00-05:00","Adrien-Maisonneuve","","","1.0","3767547","","Indo-Aryan From the Vedas to Modern Times","Indo-Aryan From the Vedas to Modern Times","28bda1f4-9cdf-4e6a-8e9f-e46fbecb83d8"
